cloth_class,product_price,product_name,product_img
洋裝,590,口袋洋裝,http://static.zara.net/photos//2016/I/0/1/p/5644/229/505/2//w/135/5644229505_3_1_1.jpg?timestamp=1469797736526
洋裝,990,蕾絲洋裝,http://static.zara.net/photos//2016/I/0/1/p/5410/230/800/2//w/135/5410230800_3_1_1.jpg?timestamp=1469104834806
洋裝,1290,露肩長衫,http://static.zara.net/photos//2016/I/0/1/p/7630/610/044/2//w/135/7630610044_3_1_1.jpg?timestamp=1469105799143
洋裝,590,長袖洋裝,http://static.zara.net/photos//2016/I/0/1/p/0264/233/812/2//w/135/0264233812_3_1_1.jpg?timestamp=1476459703795
洋裝,890,人造皮洋裝,http://static.zara.net/photos//2016/I/0/1/p/2398/033/712/2//w/135/2398033712_3_1_1.jpg?timestamp=1471428571481
洋裝,890,修身版洋裝,http://static.zara.net/photos//2016/I/0/1/p/5039/239/605/2//w/135/5039239605_3_1_1.jpg?timestamp=1472561735456
洋裝,990,中長版吊帶洋裝,http://static.zara.net/photos//2016/I/0/1/p/4886/047/800/2//w/135/4886047800_3_1_1.jpg?timestamp=1469104688268
洋裝,490,亮面寬鬆連衣裙,http://static.zara.net/photos//2016/I/0/1/p/1165/220/711/2//w/135/1165220711_3_1_1.jpg?timestamp=1469189747757
洋裝,590,天鵝絨洋裝,http://static.zara.net/photos//2016/I/0/1/p/5410/235/300/2//w/135/5410235300_3_1_1.jpg?timestamp=1477669631862
洋裝,890,修身版洋裝,http://static.zara.net/photos//2016/I/0/1/p/5039/239/422/2//w/135/5039239422_3_1_1.jpg?timestamp=1472561672963
洋裝,990,三色洋裝,http://static.zara.net/photos//2016/I/0/1/p/3564/065/330/2//w/135/3564065330_3_1_1.jpg?timestamp=1469105413249
洋裝,990,亮片短版洋裝,http://static.zara.net/photos//2016/I/0/1/p/4703/266/030/2//w/135/4703266030_3_1_1.jpg?timestamp=1478263717113
洋裝,890,天鵝絨交叉洋裝,http://static.zara.net/photos//2016/I/0/1/p/0594/167/942/2//w/135/0594167942_3_1_1.jpg?timestamp=1478262999546
洋裝,1490,亮光飄逸洋裝,http://static.zara.net/photos//2016/I/0/1/p/2142/103/818/2//w/135/2142103818_3_1_1.jpg?timestamp=1481819921324
洋裝,890,亮片針織洋裝,http://static.zara.net/photos//2016/I/0/1/p/5093/221/828/2//w/135/5093221828_3_1_1.jpg?timestamp=1475080865253
洋裝,890,星星印花洋裝,http://static.zara.net/photos//2016/I/0/1/p/7717/680/084/2//w/135/7717680084_3_1_1.jpg?timestamp=1470737460061
洋裝,640,印花洋裝,http://static.zara.net/photos//2016/I/0/1/p/0909/279/084/2//w/135/0909279084_3_1_1.jpg?timestamp=1469107534969
洋裝,790,寬襬洋裝,http://static.zara.net/photos//2016/I/0/1/p/8342/308/811/2//w/135/8342308811_3_1_1.jpg?timestamp=1473077124315
洋裝,490,打底上衣設計短版洋裝,http://static.zara.net/photos//2016/I/0/1/p/5643/290/084/2//w/135/5643290084_3_1_1.jpg?timestamp=1473699544935
洋裝,890,花卉印花洋裝,http://static.zara.net/photos//2016/I/0/1/p/8342/324/800/2//w/135/8342324800_3_1_1.jpg?timestamp=1479294333365
洋裝,790,不對稱設計洋裝,http://static.zara.net/photos//2016/I/0/1/p/1131/271/942/2//w/135/1131271942_3_1_1.jpg?timestamp=1469107539791
洋裝,890,提花加大碼洋裝,http://static.zara.net/photos//2016/I/0/1/p/8500/229/712/2//w/135/8500229712_3_1_1.jpg?timestamp=1480694480339
洋裝,640,人造皮不對稱斜肩洋裝,http://static.zara.net/photos//2016/I/0/1/p/8482/021/800/2//w/135/8482021800_3_1_1.jpg?timestamp=1479310039186
洋裝,640,T 恤式閃亮洋裝,http://static.zara.net/photos//2016/I/0/1/p/6050/293/015/2//w/135/6050293015_3_1_1.jpg?timestamp=1480694279879
洋裝,490,拼接運動衫洋裝,http://static.zara.net/photos//2016/I/0/1/p/0909/292/064/2//w/135/0909292064_3_1_1.jpg?timestamp=1476209135730
洋裝,490,基本款洋裝,http://static.zara.net/photos//2016/I/0/1/p/5644/184/105/2//w/135/5644184105_3_1_1.jpg?timestamp=1471885930784
洋裝,790,刺繡設計 T 恤拼接洋裝,http://static.zara.net/photos//2016/I/0/1/p/3028/270/800/2//w/135/3028270800_3_1_1.jpg?timestamp=1477470931899
洋裝,490,挖肩洋裝,http://static.zara.net/photos//2016/I/0/1/p/7222/271/800/2//w/135/7222271800_3_1_1.jpg?timestamp=1469793365821
洋裝,790,印花網眼洋裝,http://static.zara.net/photos//2016/I/0/1/p/2878/289/015/2//w/135/2878289015_3_1_1.jpg?timestamp=1476893654977
洋裝,490,挖肩洋裝,http://static.zara.net/photos//2016/I/0/1/p/7222/271/835/2//w/135/7222271835_3_1_1.jpg?timestamp=1469793430929
洋裝,490,閃亮合身洋裝,http://static.zara.net/photos//2016/I/0/1/p/7222/272/807/2//w/135/7222272807_3_1_1.jpg?timestamp=1469550846315
洋裝,790,襯衫式洋裝,http://static.zara.net/photos//2016/I/0/1/p/0881/280/636/2//w/135/0881280636_3_1_1.jpg?timestamp=1473668439178
洋裝,640,荷葉邊閃亮連衣裙,http://static.zara.net/photos//2016/I/0/1/p/7901/117/926/2//w/135/7901117926_3_1_1.jpg?timestamp=1474622528283
洋裝,640,薄紗荷葉邊洋裝,http://static.zara.net/photos//2016/I/0/1/p/8498/065/800/2//w/135/8498065800_3_1_1.jpg?timestamp=1479294560121
洋裝,490,基本款洋裝,http://static.zara.net/photos//2016/I/0/1/p/5644/184/803/2//w/135/5644184803_3_1_1.jpg?timestamp=1471885947623
洋裝,490,基本款洋裝,http://static.zara.net/photos//2016/I/0/1/p/5644/184/505/2//w/135/5644184505_3_1_1.jpg?timestamp=1471885936306
洋裝,640,平絨短版洋裝,http://static.zara.net/photos//2016/I/0/1/p/8338/104/308/2//w/135/8338104308_3_1_1.jpg?timestamp=1472804958431
洋裝,490,束腰洋裝,http://static.zara.net/photos//2016/I/0/1/p/7222/278/305/2//w/135/7222278305_3_1_1.jpg?timestamp=1469633378030
洋裝,490,口袋拼接洋裝,http://static.zara.net/photos//2016/I/0/1/p/5643/271/064/2//w/135/5643271064_3_1_1.jpg?timestamp=1469107997017
洋裝,790,補丁洋裝,http://static.zara.net/photos//2016/I/0/1/p/0909/277/505/2//w/135/0909277505_3_1_1.jpg?timestamp=1469713182085
洋裝,490,合身中長版洋裝,http://static.zara.net/photos//2016/I/0/1/p/5644/285/501/2//w/135/5644285501_3_1_1.jpg?timestamp=1471598180935
洋裝,490,口袋拼接洋裝,http://static.zara.net/photos//2016/I/0/1/p/5643/271/044/2//w/135/5643271044_3_1_1.jpg?timestamp=1469107992369
洋裝,490,合身中長版洋裝,http://static.zara.net/photos//2016/I/0/1/p/5644/285/800/2//w/135/5644285800_3_1_1.jpg?timestamp=1471598240704
洋裝,640,補丁吊帶洋裝,http://static.zara.net/photos//2016/I/0/1/p/5580/272/303/2//w/135/5580272303_3_1_1.jpg?timestamp=1473093687672
洋裝,790,蝴蝶結背帶洋裝,http://static.zara.net/photos//2016/I/0/1/p/7966/125/401/2//w/135/7966125401_3_1_1.jpg?timestamp=1472033735264
洋裝,790,蕾絲裝飾印花連衣裙,http://static.zara.net/photos//2016/I/0/1/p/7825/409/721/2//w/135/7825409721_3_1_1.jpg?timestamp=1473700035013
洋裝,790,雙吊帶洋裝,http://static.zara.net/photos//2016/I/0/1/p/4530/107/050/3//w/135/4530107050_3_1_1.jpg?timestamp=1469713247065
洋裝,790,雙吊帶洋裝,http://static.zara.net/photos//2016/I/0/1/p/4530/107/050/2//w/135/4530107050_3_1_1.jpg?timestamp=1469189157385
洋裝,490,蕾絲腰身拼接洋裝,http://static.zara.net/photos//2016/I/0/1/p/7817/106/922/2//w/135/7817106922_3_1_1.jpg?timestamp=1473093865211
洋裝,640,袋型天鵝絨連衣裙,http://static.zara.net/photos//2016/I/0/1/p/5584/272/307/3//w/135/5584272307_3_1_1.jpg?timestamp=1470240975914
洋裝,640,袋型天鵝絨連衣裙,http://static.zara.net/photos//2016/I/0/1/p/5584/272/307/2//w/135/5584272307_3_1_1.jpg?timestamp=1473093808704
洋裝,890,閃亮提花洋裝,http://static.zara.net/photos//2016/I/0/1/p/8012/413/302/2//w/135/8012413302_3_1_1.jpg?timestamp=1473345500094
洋裝,640,印花中長版洋裝,http://static.zara.net/photos//2016/I/0/1/p/7385/307/401/2//w/135/7385307401_3_1_1.jpg?timestamp=1472732534244
洋裝,490,寬襬洋裝,http://static.zara.net/photos//2016/I/0/1/p/5644/278/084/2//w/135/5644278084_3_1_1.jpg?timestamp=1473699674156
洋裝,640,荷葉邊細吊帶洋裝,http://static.zara.net/photos//2016/I/0/1/p/7385/312/800/2//w/135/7385312800_3_1_1.jpg?timestamp=1477048931989
洋裝,590,拉鍊小高領洋裝,http://static.zara.net/photos//2016/I/0/1/p/5643/228/605/2//w/135/5643228605_3_1_1.jpg?timestamp=1476461107122
洋裝,890,仿皮背帶褲,http://static.zara.net/photos//2016/I/0/1/p/5644/228/620/2//w/135/5644228620_3_1_1.jpg?timestamp=1478199947822
洋裝,890,仿皮背帶褲,http://static.zara.net/photos//2016/I/0/1/p/5644/228/620/3//w/135/5644228620_3_1_1.jpg?timestamp=1469105024491
洋裝,990,花卉印花長版洋裝,http://static.zara.net/photos//2016/I/0/1/p/3198/257/800/2//w/135/3198257800_3_1_1.jpg?timestamp=1471549961727
洋裝,890,縐綢洋裝,http://static.zara.net/photos//2016/I/0/1/p/0787/230/401/2//w/135/0787230401_3_1_1.jpg?timestamp=1469103580059
洋裝,1490,蕾絲洋裝,http://static.zara.net/photos//2016/I/0/1/p/4437/274/647/2//w/135/4437274647_3_1_1.jpg?timestamp=1474649489723
洋裝,990,格紋面料連衣裙,http://static.zara.net/photos//2016/I/0/1/p/8004/732/802/2//w/135/8004732802_3_1_1.jpg?timestamp=1471461450861
洋裝,990,柔軟蕾絲洋裝,http://static.zara.net/photos//2016/I/0/1/p/5646/111/712/2//w/135/5646111712_3_1_1.jpg?timestamp=1478104712435
洋裝,790,口袋背帶短褲,http://static.zara.net/photos//2016/I/0/1/p/5624/110/800/2//w/135/5624110800_3_1_1.jpg?timestamp=1475766787863
洋裝,990,條紋洋裝,http://static.zara.net/photos//2016/I/0/1/p/8566/043/400/2//w/135/8566043400_3_1_1.jpg?timestamp=1458749899021
洋裝,990,條紋洋裝,http://static.zara.net/photos//2016/I/0/1/p/8566/043/400/3//w/135/8566043400_3_1_1.jpg?timestamp=1458750719751
洋裝,490,短版細肩帶洋裝,http://static.zara.net/photos//2016/I/0/1/p/5039/246/622/2//w/135/5039246622_3_1_1.jpg?timestamp=1471550076282
洋裝,990,肩部鏤空洋裝,http://static.zara.net/photos//2016/I/0/1/p/2878/223/645/2//w/135/2878223645_3_1_1.jpg?timestamp=1478263429731
洋裝,590,領口打結設計刺繡洋裝,http://static.zara.net/photos//2016/I/0/1/p/7568/252/500/2//w/135/7568252500_3_1_1.jpg?timestamp=1478105337906
洋裝,890,亮片洋裝,http://static.zara.net/photos//2016/I/0/1/p/5410/239/620/2//w/135/5410239620_3_1_1.jpg?timestamp=1478695429106
洋裝,490,亮面寬鬆連衣裙,http://static.zara.net/photos//2016/I/0/1/p/1165/220/514/2//w/135/1165220514_3_1_1.jpg?timestamp=1469189694021
洋裝,490,加大碼洋裝,http://static.zara.net/photos//2016/I/0/1/p/3431/201/250/2//w/135/3431201250_3_1_1.jpg?timestamp=1473248337500
洋裝,590,荷葉邊洋裝,http://static.zara.net/photos//2016/I/0/1/p/5410/268/800/2//w/135/5410268800_3_1_1.jpg?timestamp=1479125587584
洋裝,990,流蘇長版洋裝,http://static.zara.net/photos//2016/I/0/1/p/5644/238/800/2//w/135/5644238800_3_1_1.jpg?timestamp=1478264066964
洋裝,990,真絲觸感蠟染印花洋裝,http://static.zara.net/photos//2016/I/0/1/p/2731/256/808/2//w/135/2731256808_3_1_1.jpg?timestamp=1473237028153
洋裝,590,中長版合身洋裝,http://static.zara.net/photos//2016/I/0/1/p/5410/223/811/2//w/135/5410223811_3_1_1.jpg?timestamp=1477911760316
洋裝,590,口袋棉緞洋裝,http://static.zara.net/photos//2016/I/0/1/p/5410/051/042/2//w/135/5410051042_3_1_1.jpg?timestamp=1467298844655
洋裝,990,長版吊帶洋裝,http://static.zara.net/photos//2016/I/0/1/p/2142/102/800/2//w/135/2142102800_3_1_1.jpg?timestamp=1472560950417
洋裝,990,長版吊帶洋裝,http://static.zara.net/photos//2016/I/0/1/p/2142/102/800/3//w/135/2142102800_3_1_1.jpg?timestamp=1472564955772
洋裝,1490,格紋洋裝,http://static.zara.net/photos//2016/I/0/1/p/8296/817/800/2//w/135/8296817800_3_1_1.jpg?timestamp=1477063793628
洋裝,1490,背部蕾絲拼接印花洋裝,http://static.zara.net/photos//2016/I/0/1/p/7938/851/800/2//w/135/7938851800_3_1_1.jpg?timestamp=1477415276333
洋裝,990,荷葉邊棉緞洋裝,http://static.zara.net/photos//2016/I/0/1/p/1639/173/409/2//w/135/1639173409_3_1_1.jpg?timestamp=1473958464483
洋裝,890,飄逸洋裝,http://static.zara.net/photos//2016/I/0/1/p/5410/240/926/2//w/135/5410240926_3_1_1.jpg?timestamp=1471444808604
洋裝,890,喇叭袖洋裝,http://static.zara.net/photos//2016/I/0/1/p/7748/590/400/2//w/135/7748590400_3_1_1.jpg?timestamp=1469106044845
洋裝,890,印花長版襯衫,http://static.zara.net/photos//2016/I/0/1/p/8186/146/330/2//w/135/8186146330_3_1_1.jpg?timestamp=1473268537107
洋裝,990,吊帶洋裝,http://static.zara.net/photos//2016/I/0/1/p/5216/243/400/2//w/135/5216243400_3_1_1.jpg?timestamp=1479232279209
洋裝,890,補丁洋裝,http://static.zara.net/photos//2016/I/0/1/p/5149/265/800/2//w/135/5149265800_3_1_1.jpg?timestamp=1474471264624
洋裝,990,補丁襯衫式洋裝,http://static.zara.net/photos//2016/I/0/1/p/8044/722/044/3//w/135/8044722044_3_1_1.jpg?timestamp=1472489858106
洋裝,990,補丁襯衫式洋裝,http://static.zara.net/photos//2016/I/0/1/p/8044/722/044/2//w/135/8044722044_3_1_1.jpg?timestamp=1472212534723
洋裝,990,短版洋裝,http://static.zara.net/photos//2016/I/0/1/p/4437/075/251/2//w/135/4437075251_3_1_1.jpg?timestamp=1461168976324
洋裝,890,金屬設計府綢長版襯衫,http://static.zara.net/photos//2016/I/0/1/p/8327/201/250/2//w/135/8327201250_3_1_1.jpg?timestamp=1477063897842
洋裝,890,垂性長衫,http://static.zara.net/photos//2016/I/0/1/p/2492/152/505/2//w/135/2492152505_3_1_1.jpg?timestamp=1469103911489
洋裝,590,仿皮背心裙,http://static.zara.net/photos//2016/I/0/1/p/3519/114/800/2//w/135/3519114800_3_1_1.jpg?timestamp=1473875994734
洋裝,990,荷葉邊短版洋裝,http://static.zara.net/photos//2016/I/0/1/p/8045/819/800/2//w/135/8045819800_3_1_1.jpg?timestamp=1472663912277
洋裝,1490,棉緞洋裝,http://static.zara.net/photos//2016/I/0/1/p/4437/306/600/2//w/135/4437306600_3_1_1.jpg?timestamp=1478263665523
洋裝,990,背部深領中長版洋裝,http://static.zara.net/photos//2016/I/0/1/p/2488/102/808/3//w/135/2488102808_3_1_1.jpg?timestamp=1476360377340
洋裝,990,背部深領中長版洋裝,http://static.zara.net/photos//2016/I/0/1/p/2488/102/808/2//w/135/2488102808_3_1_1.jpg?timestamp=1476184815601
洋裝,1490,提花迷你洋裝,http://static.zara.net/photos//2016/I/0/1/p/2731/251/600/2//w/135/2731251600_3_1_1.jpg?timestamp=1475688125782
洋裝,990,荷葉邊迷你連衣裙,http://static.zara.net/photos//2016/I/0/1/p/8158/705/305/2//w/135/8158705305_3_1_1.jpg?timestamp=1472663967139
洋裝,990,亮片洋裝,http://static.zara.net/photos//2016/I/0/1/p/2878/226/808/3//w/135/2878226808_3_1_1.jpg?timestamp=1472214251373
洋裝,990,亮片洋裝,http://static.zara.net/photos//2016/I/0/1/p/2878/226/808/2//w/135/2878226808_3_1_1.jpg?timestamp=1472211603271
洋裝,990,天鵝絨印花連衣裙,http://static.zara.net/photos//2016/I/0/1/p/7863/407/800/3//w/135/7863407800_3_1_1.jpg?timestamp=1471458406185
洋裝,990,天鵝絨印花連衣裙,http://static.zara.net/photos//2016/I/0/1/p/7863/407/800/2//w/135/7863407800_3_1_1.jpg?timestamp=1471456876088
洋裝,990,條紋長版襯衫,http://static.zara.net/photos//2016/I/0/1/p/7568/122/070/2//w/135/7568122070_3_1_1.jpg?timestamp=1473334976243
洋裝,990,不對稱洋裝,http://static.zara.net/photos//2016/I/0/1/p/3198/251/800/2//w/135/3198251800_3_1_1.jpg?timestamp=1471000586683
洋裝,890,直筒洋裝,http://static.zara.net/photos//2016/I/0/1/p/7779/349/800/2//w/135/7779349800_3_1_1.jpg?timestamp=1470321455103
洋裝,990,寬襬洋裝,http://static.zara.net/photos//2016/I/0/1/p/1639/168/485/2//w/135/1639168485_3_1_1.jpg?timestamp=1469638706185
洋裝,1490,蘇穗綴飾背心短裙,http://static.zara.net/photos//2016/I/0/1/p/7806/819/800/2//w/135/7806819800_3_1_1.jpg?timestamp=1469192654475
洋裝,1490,中長版洋裝,http://static.zara.net/photos//2016/I/0/1/p/7668/778/800/2//w/135/7668778800_3_1_1.jpg?timestamp=1469105904965
洋裝,1490,多色條紋洋裝,http://static.zara.net/photos//2016/I/0/1/p/3859/101/050/2//w/135/3859101050_3_1_1.jpg?timestamp=1469104447711
洋裝,990,蕾絲洋裝,http://static.zara.net/photos//2016/I/0/1/p/1639/157/305/2//w/135/1639157305_3_1_1.jpg?timestamp=1469103776304
